""
epoch,train_loss,train_acc,test_acc
1,3.953546561243589,0.09284000098705292,0.1627
2,3.3205078312807985,0.19349999725818634,0.2334
3,2.7470505371727905,0.29993999004364014,0.3356
4,2.3420053491811923,0.38784000277519226,0.3869
""
epoch,train_loss,train_acc,test_acc
1,3.965034501326968,0.09015999734401703,0.1494
2,3.324438120093187,0.19001999497413635,0.2448
3,2.7402451318853043,0.2980000078678131,0.3525
4,2.3262501842225602,0.3852800130844116,0.4071
5,2.0728813345779846,0.4499799907207489,0.457
6,1.8635427226190981,0.4909000098705292,0.4794
7,1.8048090425598653,0.515720009803772,0.5043
8,1.7186216664741107,0.5360199809074402,0.515
9,1.58573957751779,0.5607200264930725,0.504
10,1.5489975447240083,0.576960027217865,0.5018
11,1.4902940494630037,0.5867000222206116,0.5529
12,1.5021815036263917,0.5917199850082397,0.5251
13,1.4144438759750113,0.6078400015830994,0.5711
14,1.4141973863782176,0.6122400164604187,0.5468
15,1.3750015169458316,0.6219199895858765,0.5601
16,1.3475177457265537,0.6275200247764587,0.5317
17,1.3625776447603464,0.6262199878692627,0.5543
18,1.3288012796350757,0.6326799988746643,0.5543
19,1.3121352259765195,0.6418200135231018,0.5521
20,1.3327022540904676,0.6334800124168396,0.597
21,0.9378149380616825,0.7510600090026855,0.7093
22,0.760526442619236,0.7948600053787231,0.7185
23,0.7407417059554469,0.7994599938392639,0.7202
24,0.6486369190770952,0.8255199790000916,0.7151
25,0.6397434764963281,0.8338000178337097,0.7163
26,0.5423803286021932,0.8539800047874451,0.7183
27,0.5569096684760755,0.8500199913978577,0.7094
28,0.588890071872555,0.8496599793434143,0.7033
29,0.6100493256012192,0.8496400117874146,0.7055
30,0.5669964306875873,0.8551599979400635,0.6984
31,0.5270251456047873,0.8623200058937073,0.6909
32,0.5399685109515324,0.8598799705505371,0.6839
33,0.5295712374284139,0.8635799884796143,0.6703
34,0.6231360371079286,0.8468599915504456,0.6927
35,0.4876307611117887,0.8740000128746033,0.6996
36,0.5364196433130738,0.8611599802970886,0.6878
37,0.5316507134138776,0.8646799921989441,0.6855
38,0.4699713654454102,0.8829399943351746,0.6848
39,0.5538586114373658,0.8591600060462952,0.693
40,0.4851340445716058,0.8748000264167786,0.6857
41,0.31388053173185004,0.9326800107955933,0.7474
42,0.3014443367052719,0.9394599795341492,0.7469
43,0.3056972747682915,0.9377800226211548,0.7498
44,0.2486742023864518,0.9580199718475342,0.7552
45,0.23293118251254186,0.9563599824905396,0.7544
46,0.2659967977201085,0.9530799984931946,0.7535
47,0.23773005266514274,0.9510400295257568,0.7552
48,0.24807050845126058,0.9539399743080139,0.7523
49,0.2550446490002105,0.9492999911308289,0.7514
50,0.21254019707898655,0.9642599821090698,0.7543
51,0.2788707246846708,0.944100022315979,0.7539
52,0.29015259359917983,0.9366199970245361,0.753
53,0.22897231278231228,0.9522200226783752,0.754
54,0.2528647403506672,0.9518600106239319,0.7565
55,0.21329208892172255,0.9570199847221375,0.7541
56,0.21806094554417274,0.9577400088310242,0.7543
57,0.23081666208289164,0.9566799998283386,0.7564
58,0.2007388205403257,0.96288001537323,0.7551
59,0.18603747501454848,0.9587200284004211,0.7536
60,0.17174531807146415,0.9738399982452393,0.7571
61,0.2109902544790293,0.9584199786186218,0.7582
62,0.19915706163648603,0.957539975643158,0.7575
63,0.22073034892606613,0.955079972743988,0.7556
64,0.23905253156905285,0.9499199986457825,0.7565
65,0.14289512652951433,0.9769399762153625,0.7598
66,0.17898668869472373,0.9699400067329407,0.7567
67,0.24442639539632804,0.9552800059318542,0.7569
68,0.2937051071964033,0.9484400153160095,0.7576
69,0.17320913886246475,0.9696199893951416,0.7615
70,0.22692685486162867,0.9610999822616577,0.7573
71,0.20126579460852287,0.9561799764633179,0.7594
72,0.216086296955376,0.9553200006484985,0.7586
73,0.1757782114779248,0.9702200293540955,0.7602
74,0.2532290864802535,0.9445400238037109,0.7524
75,0.27012163490685814,0.9448800086975098,0.7614
76,0.1550559968547062,0.9692599773406982,0.7677
77,0.20431689897080516,0.9592999815940857,0.7572
78,0.2136826626575359,0.9584199786186218,0.7543
79,0.18582489280997183,0.9639599919319153,0.7533
80,0.2528625924445098,0.950659990310669,0.7616
81,0.2178327258857315,0.9620599746704102,0.7584
82,0.1814548029895405,0.9709399938583374,0.7632
83,0.19819902111549892,0.9598600268363953,0.7579
84,0.15636552451059338,0.9720399975776672,0.7539
85,0.2421438483011616,0.9513599872589111,0.7521
86,0.14656709393729334,0.9694399833679199,0.7634
87,0.2248925222584125,0.950439989566803,0.7584
88,0.18416703284701422,0.9661800265312195,0.76
89,0.19346651744068888,0.965499997138977,0.7558
90,0.1984052900367838,0.9564999938011169,0.7609
91,0.24092802371058014,0.9570199847221375,0.7548
92,0.25550844206396117,0.9515200257301331,0.7616
93,0.25524364203176536,0.9501199722290039,0.7541
94,0.20761489117865825,0.9606000185012817,0.7601
95,0.2405478412385487,0.9545400142669678,0.7627
96,0.1614929546013741,0.9701600074768066,0.7595
97,0.24055152188252915,0.9582800269126892,0.749
98,0.16545607665520343,0.968720018863678,0.7631
99,0.17812522293528174,0.96697998046875,0.7551
100,0.2642241142918844,0.9453399777412415,0.7534
